Data Uji
2018-02-01
2018-03-01
2018-08-01
2018-10-01
2018-12-01
2019-01-01
2020-02-01
2020-10-01
2020-11-01
2020-12-01
2021-08-01
2022-03-01
2022-04-01
2022-05-01
2022-06-01
2022-08-01
2023-03-01
2023-08-01
2023-10-01
2023-11-01
2024-02-01
2024-03-01
2024-04-01
2024-05-01
2024-09-01
